snapshot_dt_utc,rank,pair,value_krw_24h,captured_at
2026-04-27,34,KRW-BIO,9536585737.69,2026-04-27T13:18:16+00:00
2026-04-27,35,KRW-ADA,9437294973.49,2026-04-27T13:18:16+00:00
2026-04-27,36,KRW-RAY,8852798552.01,2026-04-27T13:18:16+00:00
2026-04-27,37,KRW-SUI,8497375290.32,2026-04-27T13:18:16+00:00
2026-04-27,38,KRW-ZETA,8264851429.72,2026-04-27T13:18:16+00:00
2026-04-27,39,KRW-BARD,7929298224.70,2026-04-27T13:18:16+00:00
2026-04-27,40,KRW-AERO,7539862024.60,2026-04-27T13:18:16+00:00
2026-04-27,41,KRW-ONDO,7478840268.20,2026-04-27T13:18:16+00:00
2026-04-27,42,KRW-MIRA,7298389387.55,2026-04-27T13:18:16+00:00
2026-04-27,43,KRW-AQT,7263006696.91,2026-04-27T13:18:16+00:00
2026-04-27,44,KRW-CFG,6797862737.91,2026-04-27T13:18:16+00:00
2026-04-27,45,KRW-SOON,6571443267.40,2026-04-27T13:18:16+00:00
2026-04-27,46,KRW-DOOD,6437429105.68,2026-04-27T13:18:16+00:00
2026-04-27,47,KRW-VIRTUAL,6388065965.66,2026-04-27T13:18:16+00:00
2026-04-27,48,KRW-XPL,6380332157.88,2026-04-27T13:18:16+00:00
2026-04-27,49,KRW-AXL,6254727386.71,2026-04-27T13:18:16+00:00
2026-04-27,50,KRW-SEI,5969053399.70,2026-04-27T13:18:16+00:00
2026-04-27,51,KRW-FLUID,5774581528.44,2026-04-27T13:18:16+00:00
2026-04-27,52,KRW-BERA,5602295914.93,2026-04-27T13:18:16+00:00
2026-04-27,53,KRW-API3,5413131618.22,2026-04-27T13:18:16+00:00
2026-04-27,54,KRW-CHZ,5104732387.57,2026-04-27T13:18:16+00:00
2026-04-27,55,KRW-KITE,5098170263.44,2026-04-27T13:18:16+00:00
2026-04-27,56,KRW-XLM,5006043509.44,2026-04-27T13:18:16+00:00
2026-04-27,57,KRW-PEPE,4948144182.36,2026-04-27T13:18:16+00:00
2026-04-27,58,KRW-MOODENG,4625841622.08,2026-04-27T13:18:16+00:00
2026-04-27,59,KRW-SHIB,4524056854.76,2026-04-27T13:18:16+00:00
2026-04-27,60,KRW-ZKP,4328776638.19,2026-04-27T13:18:16+00:00
2026-04-27,61,KRW-SAND,4283410131.56,2026-04-27T13:18:16+00:00
2026-04-27,62,KRW-MANTRA,4173255325.55,2026-04-27T13:18:16+00:00
2026-04-27,63,KRW-ZAMA,4145252843.40,2026-04-27T13:18:16+00:00
2026-04-27,64,KRW-JUP,4130018418.37,2026-04-27T13:18:16+00:00
2026-04-27,65,KRW-INJ,4016459536.21,2026-04-27T13:18:16+00:00
2026-04-27,66,KRW-ZORA,3924433234.99,2026-04-27T13:18:16+00:00
2026-04-27,67,KRW-SIGN,3853265820.31,2026-04-27T13:18:16+00:00
2026-04-27,68,KRW-CBK,3800444847.24,2026-04-27T13:18:16+00:00
2026-04-27,69,KRW-ENA,3789863918.20,2026-04-27T13:18:16+00:00
2026-04-27,70,KRW-CKB,3659922497.95,2026-04-27T13:18:16+00:00
2026-04-27,71,KRW-CARV,3617181746.29,2026-04-27T13:18:16+00:00
2026-04-27,72,KRW-ETC,3501633343.43,2026-04-27T13:18:16+00:00
2026-04-27,73,KRW-TAIKO,3422371899.76,2026-04-27T13:18:16+00:00
2026-04-27,74,KRW-BOUNTY,3278590258.98,2026-04-27T13:18:16+00:00
2026-04-27,75,KRW-BLUR,3248044528.01,2026-04-27T13:18:16+00:00
2026-04-27,76,KRW-WLD,3140030711.50,2026-04-27T13:18:16+00:00
2026-04-27,77,KRW-AAVE,3000393366.21,2026-04-27T13:18:16+00:00
2026-04-27,78,KRW-ID,2988968912.31,2026-04-27T13:18:16+00:00
2026-04-27,79,KRW-BREV,2938962123.37,2026-04-27T13:18:16+00:00
2026-04-27,80,KRW-ZKC,2875001910.75,2026-04-27T13:18:16+00:00
2026-04-27,81,KRW-ELSA,2862559985.29,2026-04-27T13:18:16+00:00
2026-04-27,82,KRW-LINK,2796413402.49,2026-04-27T13:18:16+00:00
2026-04-27,83,KRW-MON,2756922061.80,2026-04-27T13:18:16+00:00
2026-04-27,84,KRW-PLUME,2734088956.92,2026-04-27T13:18:16+00:00
2026-04-27,85,KRW-TRX,2724164434.85,2026-04-27T13:18:16+00:00
2026-04-27,86,KRW-WLFI,2712946978.48,2026-04-27T13:18:16+00:00
2026-04-27,87,KRW-TREE,2696185879.57,2026-04-27T13:18:16+00:00
2026-04-27,88,KRW-AVAX,2671460227.95,2026-04-27T13:18:16+00:00
2026-04-27,89,KRW-ENS,2635201561.33,2026-04-27T13:18:16+00:00
2026-04-27,90,KRW-ME,2571804511.97,2026-04-27T13:18:16+00:00
2026-04-27,91,KRW-HOLO,2523580472.40,2026-04-27T13:18:16+00:00
2026-04-27,92,KRW-LAYER,2492300419.07,2026-04-27T13:18:16+00:00
2026-04-27,93,KRW-PUMP,2441580966.90,2026-04-27T13:18:16+00:00
2026-04-27,94,KRW-FLOCK,2402003482.37,2026-04-27T13:18:16+00:00
2026-04-27,95,KRW-IN,2401987794.32,2026-04-27T13:18:16+00:00
2026-04-27,96,KRW-MINA,2399441063.17,2026-04-27T13:18:16+00:00
2026-04-27,97,KRW-ORBS,2360113389.38,2026-04-27T13:18:16+00:00
2026-04-27,98,KRW-TAO,2348215138.29,2026-04-27T13:18:16+00:00
2026-04-27,99,KRW-ONT,2330447994.85,2026-04-27T13:18:16+00:00
2026-04-27,100,KRW-NEAR,2309827268.68,2026-04-27T13:18:16+00:00
